Time_Period,Quarter,Year,Auto Sales (thousands),US Real GDP Growth,US Nominal GDP Growth,US Real Disposable Income Growth,US Nominal Disposable Income Growth,US Unemployment Rate
1.0,Q1,2001.0,528.633,-1.1,1.4,3.5,6.3,4.2
2.0,Q2,2001.0,582.067,2.1,5.1,-0.3,1.6,4.4
3.0,Q3,2001.0,493.7,-1.3,0.0,9.8,10.1,4.8
4.0,Q4,2001.0,480.4,1.1,2.3,-4.9,-4.6,5.5
5.0,Q1,2002.0,448.833,3.7,5.1,10.1,10.9,5.7
6.0,Q2,2002.0,547.0,2.2,3.8,2.0,5.2,5.8
7.0,Q3,2002.0,519.967,2.0,3.8,-0.5,1.5,5.7
8.0,Q4,2002.0,423.033,0.3,2.4,1.9,3.8,5.9
9.0,Q1,2003.0,431.267,2.1,4.6,1.1,4.0,5.9
10.0,Q2,2003.0,503.63300000000004,3.8,5.1,5.9,6.3,6.1
11.0,Q3,2003.0,482.667,6.9,9.3,6.7,9.3,6.1
12.0,Q4,2003.0,406.63300000000004,4.8,6.8,1.6,3.3,5.8
13.0,Q1,2004.0,425.93300000000005,2.3,5.9,2.9,6.1,5.7
14.0,Q2,2004.0,489.467,3.0,6.6,4.0,7.0,5.6
15.0,Q3,2004.0,460.3,3.7,6.3,2.1,4.5,5.4
16.0,Q4,2004.0,402.167,3.5,6.4,5.1,8.5,5.4
17.0,Q1,2005.0,427.13300000000004,4.3,8.3,-3.8,-1.8,5.3
18.0,Q2,2005.0,503.033,2.1,5.1,3.2,6.0,5.1
19.0,Q3,2005.0,489.8,3.4,7.3,2.1,6.6,5.0
20.0,Q4,2005.0,404.56699999999995,2.3,5.4,3.4,6.6,5.0
21.0,Q1,2006.0,445.3,4.9,8.2,9.5,11.5,4.7
22.0,Q2,2006.0,500.767,1.2,4.5,0.6,3.7,4.6
23.0,Q3,2006.0,472.167,0.4,3.2,1.2,4.1,4.6
24.0,Q4,2006.0,387.333,3.2,4.6,5.3,4.6,4.4
25.0,Q1,2007.0,407.6,0.2,4.8,2.6,6.5,4.5
26.0,Q2,2007.0,485.86699999999996,3.1,5.4,0.8,4.0,4.5
27.0,Q3,2007.0,437.86699999999996,2.7,4.2,1.1,3.4,4.7
28.0,Q4,2007.0,401.033,1.4,3.2,0.3,4.4,4.8
29.0,Q1,2008.0,394.033,-2.7,-0.5,2.9,6.5,5.0
30.0,Q2,2008.0,455.0,2.0,4.0,8.7,13.3,5.3
31.0,Q3,2008.0,379.5,-1.9,0.8,-8.9,-5.1,6.0
32.0,Q4,2008.0,268.467,-8.2,-7.7,2.6,-3.2,6.9
33.0,Q1,2009.0,233.533,-5.4,-4.5,-0.8,-3.0,8.3
34.0,Q2,2009.0,297.033,-0.5,-1.2,2.9,4.7,9.3
35.0,Q3,2009.0,362.3,1.3,1.2,-4.3,-1.9,9.6
36.0,Q4,2009.0,293.267,3.9,5.2,-0.5,2.2,9.9
37.0,Q1,2010.0,295.959,1.7,3.2,0.4,1.8,9.8
38.0,Q2,2010.0,356.191,3.9,5.8,5.3,5.8,9.6
39.0,Q3,2010.0,320.49,2.7,4.6,2.0,3.2,9.5
40.0,Q4,2010.0,291.194,2.5,4.7,2.8,5.0,9.5
41.0,Q1,2011.0,347.50199999999995,-1.5,0.2,5.0,8.2,9.0
42.0,Q2,2011.0,372.194,2.9,6.0,-0.6,3.5,9.1
43.0,Q3,2011.0,332.481,0.8,3.3,2.1,4.3,9.0
44.0,Q4,2011.0,329.811,4.6,5.2,0.2,1.6,8.6
45.0,Q1,2012.0,427.22900000000004,2.7,4.9,6.7,9.2,8.3
46.0,Q2,2012.0,460.913,1.9,3.8,3.1,4.4,8.2
47.0,Q3,2012.0,419.35400000000004,0.5,2.7,-0.2,1.1,8.0
48.0,Q4,2012.0,399.119,0.1,1.7,10.9,13.3,7.8
49.0,Q1,2013.0,458.25199999999995,2.8,4.4,-15.7,-14.5,7.7
50.0,Q2,2013.0,495.254,0.8,1.6,2.4,2.5,7.5
51.0,Q3,2013.0,448.93800000000005,3.1,5.1,2.4,3.9,7.2
52.0,Q4,2013.0,408.608,4.0,6.1,0.9,2.6,6.9
53.0,Q1,2014.0,429.48400000000004,-0.9,0.7,4.3,6.5,6.7
54.0,Q2,2014.0,511.533,4.6,7.0,5.3,7.1,6.2
55.0,Q3,2014.0,483.78,5.2,7.1,4.2,5.5,6.1
56.0,Q4,2014.0,445.162,2.0,2.6,5.9,5.7,5.7
57.0,Q1,2015.0,443.51099999999997,3.2,3.2,4.3,2.6,5.6
58.0,Q2,2015.0,510.629,2.7,5.0,3.8,5.6,5.4
59.0,Q3,2015.0,475.01599999999996,1.6,3.0,1.8,3.2,5.1
60.0,Q4,2015.0,435.885,0.5,1.3,2.9,3.1,5.0
61.0,Q1,2016.0,430.594,0.6,0.8,0.2,0.9,4.9
62.0,Q2,2016.0,456.592,2.2,4.7,1.9,4.0,4.9
63.0,Q3,2016.0,430.21,2.8,4.2,0.7,2.5,4.9
64.0,Q4,2016.0,398.962,1.8,3.8,-1.8,0.1,4.7
65.0,Q1,2017.0,375.161,1.2,3.3,2.9,5.2,4.7
66.0,Q2,2017.0,415.538,3.1,4.1,2.7,3.0,4.3
67.0,Q3,2017.0,393.175,3.2,5.3,0.5,2.1,4.3
68.0,Q4,2017.0,350.219,2.7,5.0,1.9,5.6,4.1
69.0,Q1,2018.0,340.55199999999996,2.5,4.6,4.0,6.1,4.0
70.0,Q2,2018.0,363.449,2.8,4.8,2.9,4.8,4.0
71.0,Q3,2018.0,328.281,2.6,4.7,2.9,4.9,3.9
